bayer_GRBG,$42.30 \pm 2.89$,$0.993 \pm 0.002$
bayer_RGGB,$42.04 \pm 2.82$,$0.993 \pm 0.002$
binning,$24.48 \pm 1.44$,$0.725 \pm 0.096$
chakrabarti,$38.90 \pm 2.49$,$0.988 \pm 0.005$
gindele,$42.26 \pm 2.95$,$0.993 \pm 0.002$
hamilton,$41.52 \pm 2.79$,$0.992 \pm 0.003$
honda,$40.91 \pm 2.92$,$0.992 \pm 0.003$
honda2,$26.75 \pm 2.97$,$0.811 \pm 0.106$
kaizu,$41.02 \pm 3.02$,$0.992 \pm 0.003$
kodak,$41.31 \pm 2.90$,$0.992 \pm 0.003$
lukac,$29.91 \pm 2.06$,$0.877 \pm 0.069$
luo,$30.54 \pm 2.48$,$0.913 \pm 0.052$
quad_bayer,$38.80 \pm 2.89$,$0.986 \pm 0.005$
sony,$40.83 \pm 2.84$,$0.992 \pm 0.003$
sparse_3,$37.65 \pm 2.00$,$0.979 \pm 0.012$
wang,$41.79 \pm 3.01$,$0.993 \pm 0.003$
xtrans,$29.33 \pm 1.65$,$0.839 \pm 0.082$
yamagami,$40.64 \pm 2.87$,$0.991 \pm 0.003$
yamanaka,$41.79 \pm 3.02$,$0.992 \pm 0.003$
